iter	Passed	Remaining
425	536	722
426	537	721
427	538	719
428	539	717
429	540	715
430	540	714
431	541	712
432	542	711
433	544	709
434	545	708
435	546	706
436	547	705
437	549	704
438	550	702
439	550	701
440	551	699
441	552	697
442	553	696
443	554	694
444	555	692
445	556	691
446	557	689
447	558	688
448	559	687
449	561	685
450	562	684
451	562	682
452	563	681
453	564	679
454	565	677
455	566	676
456	567	674
457	568	673
458	569	671
459	570	669
460	571	668
461	572	666
462	573	665
463	574	663
464	575	662
465	576	660
466	577	659
467	578	657
468	579	656
469	580	654
470	581	652
471	582	651
472	583	649
473	584	648
474	584	646
475	585	644
476	586	643
477	588	642
478	589	640
479	590	639
480	591	637
481	591	636
482	592	634
483	593	633
484	594	631
485	595	629
486	596	628
487	597	626
488	598	625
489	599	623
490	600	622
491	601	620
492	602	619
493	603	618
494	604	616
495	605	615
496	606	613
497	607	612
498	608	611
499	609	609
500	610	607
501	611	606
502	612	604
503	613	603
504	613	601
505	614	600
506	615	598
507	617	597
508	618	596
509	619	594
510	619	593
511	620	591
512	621	590
513	622	588
514	623	587
515	624	585
516	625	584
517	626	582
518	627	581
519	627	579
520	628	578
521	629	576
522	630	575
523	631	573
524	632	572
525	633	571
526	634	569
527	635	568
528	636	566
529	637	565
530	638	563
531	638	562
532	639	560
533	640	559
534	641	557
535	642	556
536	643	554
537	644	553
538	645	551
539	646	550
540	647	549
541	648	547
542	649	546
543	650	545
544	651	543
545	651	542
546	652	540
547	653	539
548	654	537
549	655	536
550	656	535
551	657	533
552	658	532
553	659	530
554	660	529
555	661	528
556	662	527
557	663	525
558	664	524
559	665	522
560	666	521
561	667	520
562	668	518
563	669	517
564	670	515
565	670	514
566	671	513
567	672	511
568	673	510
569	675	509
570	676	508
571	677	506
572	678	505
573	679	504
574	680	502
575	681	501
576	682	500
577	683	498
578	683	497
579	684	495
580	685	494
581	686	493
582	687	491
583	688	490
584	689	489
585	691	488
586	692	487
587	693	485
588	694	484
589	695	483
590	696	481
591	697	480
592	698	479
593	699	477
594	699	476
595	700	475
596	701	473
597	702	472
598	703	470
599	704	469
600	705	468
601	706	467
602	707	465
603	708	464
604	709	463
605	710	461
606	711	460
607	712	459
608	712	457
609	713	456
610	714	454
611	715	453
612	716	452
613	717	451
614	718	449
615	719	448
616	720	447
617	721	446
618	723	445
619	724	443
620	724	442
621	725	441
622	726	439
623	727	438
624	728	437
625	729	435
626	730	434
627	731	433
628	732	432
629	733	430
630	734	429
631	735	428
632	736	427
633	737	425
634	738	424
635	739	423
636	740	421
637	741	420
638	742	419
639	742	417
640	743	416
641	744	415
642	745	413
643	746	412
644	747	411
645	748	410
646	749	408
647	750	407
648	751	406
649	752	405
650	753	403
651	754	402
652	755	401
653	756	400
654	757	398
655	758	397
656	758	396
657	759	394
658	760	393
659	761	392
660	762	391
661	763	390
662	765	388
663	766	387
664	767	386
665	767	385
666	768	383
667	769	382
668	770	381
669	771	380
670	772	378
671	773	377
672	774	376
673	775	375
674	776	373
675	777	372
676	779	371
677	780	370
678	782	369
679	783	368
680	784	367
681	785	366
682	786	364
683	787	363
684	788	362
685	789	361
686	790	359
687	790	358
688	791	357
689	793	356
690	794	355
691	795	354
692	797	353
693	798	351
694	799	350
695	800	349
696	801	348
697	802	347
698	803	346
699	804	344
700	805	343
701	806	342
702	808	341
703	809	340
704	810	339
705	811	338
706	812	336
707	814	335
708	815	334
709	816	333
710	817	332
711	818	331
712	819	329
713	820	328
714	821	327
715	823	326
716	824	325
717	825	324
718	826	322
719	827	321
720	828	320
721	829	319
722	830	318
723	831	316
724	831	315
725	832	314
726	833	313
727	834	311
728	835	310
729	836	309
730	837	308
731	838	307
732	839	305
733	840	304
734	841	303
735	842	302
736	843	301
737	844	299
738	845	298
739	846	297
740	847	296
741	848	294
742	849	293
743	850	292
744	850	291
745	851	290
746	853	288
747	854	287
748	855	286
749	856	285
750	856	284
751	857	282
752	858	281
753	859	280
754	860	279
755	861	278
756	862	276
757	863	275
758	863	274
759	864	273
760	865	271
761	866	270
762	868	269
763	869	268
764	869	267
765	870	266
766	871	264
767	872	263
768	873	262
769	874	261
770	874	259
771	875	258
772	876	257
773	877	256
774	878	255
775	879	253
776	880	252
777	881	251
778	882	250
779	883	249
780	884	248
781	885	246
782	886	245
783	887	244
784	888	243
785	889	242
786	890	240
787	891	239
788	892	238
789	892	237
790	893	236
791	894	234
792	895	233
793	896	232
794	897	231
795	898	230
796	899	229
797	900	228
798	901	226
799	902	225
800	903	224
801	904	223
802	905	222
803	906	220
804	907	219
805	908	218
806	909	217
807	910	216
808	911	215
809	912	214
810	913	212
811	914	211
812	915	210
813	916	209
814	917	208
815	918	207
816	919	205
817	919	204
818	920	203
819	921	202
820	922	201
821	923	200
822	924	198
823	925	197
824	927	196
825	928	195
826	929	194
827	930	193
828	931	192
829	932	190
830	933	189
831	934	188
832	934	187
833	935	186
834	936	185
835	937	183
836	938	182
837	939	181
838	940	180
839	941	179
840	942	178
841	943	177
842	944	175
843	945	174
844	946	173
845	947	172
846	948	171
847	949	170
848	950	168
849	950	167
850	951	166
851	952	165
852	953	164
853	954	163
854	955	162
855	957	161
856	958	159
857	959	158
858	960	157
859	961	156
860	961	155
861	962	154
862	963	152
863	964	151
864	965	150
865	966	149
866	967	148
867	968	147
868	969	146
869	970	144
870	971	143
871	972	142
872	973	141
873	975	140
874	976	139
875	977	138
876	978	137
877	979	136
878	980	134
879	981	133
880	982	132
881	983	131
882	984	130
883	985	129
884	986	128
885	988	127
886	989	126
887	990	124
888	991	123
889	992	122
890	993	121
891	994	120
892	994	119
893	995	118
894	996	116
895	997	115
896	998	114
897	999	113
898	1001	112
899	1002	111
900	1003	110
901	1004	109
902	1005	107
903	1005	106
904	1006	105
905	1007	104
906	1008	103
907	1009	102
908	1010	101
909	1011	100
910	1012	98
911	1013	97
912	1014	96
913	1015	95
914	1017	94
915	1018	93
916	1019	92
917	1020	91
918	1021	90
919	1022	88
920	1023	87
921	1024	86
922	1025	85
923	1026	84
924	1027	83
925	1029	82
926	1030	81
927	1031	80
928	1033	78
929	1034	77
930	1035	76
931	1036	75
932	1037	74
933	1038	73
934	1039	72
935	1040	71
936	1042	70
937	1043	68
938	1044	67
939	1045	66
940	1046	65
941	1048	64
942	1049	63
943	1050	62
944	1051	61
945	1052	60
946	1054	58
947	1055	57
948	1056	56
949	1057	55
950	1059	54
951	1060	53
952	1062	52
953	1063	51
954	1065	50
955	1067	49
956	1068	48
957	1069	46
958	1070	45
959	1072	44
960	1073	43
961	1075	42
962	1076	41
963	1078	40
964	1079	39
965	1080	38
966	1082	36
967	1083	35
968	1084	34
969	1085	33
970	1087	32
971	1088	31
972	1089	30
973	1091	29
974	1092	28
975	1094	26
976	1095	25
977	1096	24
978	1097	23
979	1098	22
980	1099	21
981	1100	20
982	1102	19
983	1103	17
984	1105	16
985	1106	15
986	1107	14
987	1109	13
988	1110	12
989	1111	11
990	1112	10
991	1114	8
992	1115	7
993	1116	6
994	1117	5
995	1118	4
996	1120	3
997	1121	2
998	1122	1
999	1123	0
